ID Race,Race,ID Year,Year,ID Workforce Status,Workforce Status,ID Detailed Occupation,Detailed Occupation,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography
6,Asian,2019,2019,TRUE,TRUE,1191XX,Other managers,154309.0848,24189.70927,7917,2182.055703,85,Massachusetts,04000US25
6,Asian,2019,2019,TRUE,TRUE,291141,Registered nurses,89570.21639,22120.56674,3697,1492.008018,36,Massachusetts,04000US25
6,Asian,2019,2019,TRUE,TRUE,151252,Software developers,118663.4366,10256.17814,21267,3569.530761,211,Massachusetts,04000US25
6,Asian,2019,2019,TRUE,TRUE,252020,Elementary & middle school teachers,31579.58759,14305.25784,2643,1261.711707,29,Massachusetts,04000US25
6,Asian,2019,2019,TRUE,TRUE,412010,Cashiers,22287.13241,6680.244652,5604,1836.443725,48,Massachusetts,04000US25
6,Asian,2018,2018,TRUE,TRUE,1191XX,Other managers,137600.3299,25949.55348,8242,2226.239755,78,Massachusetts,04000US25
6,Asian,2018,2018,TRUE,TRUE,291141,Registered nurses,87044.11852,36958.68792,3493,1450.287799,38,Massachusetts,04000US25
6,Asian,2018,2018,TRUE,TRUE,151252,Software developers,111509.3715,7966.59489,17734,3261.065914,140,Massachusetts,04000US25
6,Asian,2018,2018,TRUE,TRUE,252020,Elementary & middle school teachers,38788.48654,17034.02076,1412,922.3659431,15,Massachusetts,04000US25
6,Asian,2018,2018,TRUE,TRUE,412010,Cashiers,18998.04697,11997.00127,6706,2008.557384,57,Massachusetts,04000US25
6,Asian,2017,2017,TRUE,TRUE,291141,Registered nurses,88280.77329,18275.41343,3639,1480.247575,35,Massachusetts,04000US25
6,Asian,2017,2017,TRUE,TRUE,252020,Elementary & middle school teachers,32370.57477,15668.03171,2220,1156.405346,24,Massachusetts,04000US25
6,Asian,2017,2017,TRUE,TRUE,412010,Cashiers,11063.64969,3240.248606,5124,1756.116725,46,Massachusetts,04000US25
6,Asian,2016,2016,TRUE,TRUE,291141,Registered nurses,85546.4355,13329.04246,4186,1587.470581,37,Massachusetts,04000US25
6,Asian,2016,2016,TRUE,TRUE,252020,Elementary & middle school teachers,50909.5748,19370.07104,1230,860.8914594,15,Massachusetts,04000US25
6,Asian,2016,2016,TRUE,TRUE,412010,Cashiers,17618.14963,5403.173851,6008,1901.314603,53,Massachusetts,04000US25
6,Asian,2015,2015,TRUE,TRUE,291141,Registered nurses,77582.79772,18020.15709,2813,1301.597715,34,Massachusetts,04000US25
6,Asian,2015,2015,TRUE,TRUE,252020,Elementary & middle school teachers,38638.20727,14767.07881,2422,1207.826087,24,Massachusetts,04000US25
6,Asian,2015,2015,TRUE,TRUE,412010,Cashiers,15639.4637,11030.61365,6144,1922.652506,53,Massachusetts,04000US25
6,Asian,2014,2014,TRUE,TRUE,291141,Registered nurses,85027.58648,16396.49286,2440,1212.293307,21,Massachusetts,04000US25
6,Asian,2014,2014,TRUE,TRUE,252020,Elementary & middle school teachers,41959.168,17387.28799,1869,1061.097663,21,Massachusetts,04000US25
6,Asian,2014,2014,TRUE,TRUE,412010,Cashiers,15077.01424,2686.218013,7934,2184.206849,65,Massachusetts,04000US25